t	θ	dt	dth
0	1.356120829	0.008	0.087266463
0.25	0.83950337	0.008	0.087266463
0.5	-0.5131268	0.008	0.087266463
0.75	-1.254891732	0.008	0.087266463
1	-1.045452222	0.008	0.087266463
1.25	-0.034906585	0.008	0.06981317
1.5	1.027998929	0.008	0.087266463
1.75	1.225221135	0.008	0.104719755
2	0.427605667	0.008	0.06981317
2.25	-0.727802298	0.008	0.06981317
2.5	-1.261873049	0.008	0.087266463
2.75	-0.79412481	0.008	0.087266463
3	0.464257581	0.008	0.104719755
3.25	1.137954672	0.008	0.087266463
3.5	1.022762942	0.008	0.052359878
3.75	0.04712389	0.008	0.104719755
4	-1.000073661	0.008	0.087266463
4.25	-1.160643953	0.008	0.06981317
4.5	-0.329867229	0.008	0.06981317
4.75	0.745255591	0.008	0.087266463
5	1.183333233	0.008	0.087266463
5.25	0.710349006	0.008	0.087266463
5.5	-0.497418837	0.008	0.087266463
5.75	-1.104793417	0.008	0.06981317
6	-0.846484687	0.008	0.06981317
6.25	0.118682389	0.008	0.087266463
6.5	1.010545637	0.008	0.06981317
6.75	1.059414856	0.008	0.087266463
7	0.143116999	0.008	0.104719755
7.25	-0.818559419	0.008	0.06981317
7.5	-1.085594795	0.008	0.06981317
7.75	-0.474729557	0.008	0.06981317
8	0.657989128	0.008	0.104719755
8.25	1.118756051	0.008	0.087266463
