t	θ	dt	dth
0	1.295034305	0.008	0.06981317
1.633	1.251401074	0.008	0.06981317
3.333	1.199041196	0.008	0.06981317
4.967	1.144935989	0.008	0.06981317
6.6	1.101302758	0.008	0.06981317
8.233	1.068141502	0.008	0.06981317
9.833	1.029744259	0.008	0.06981317
11.467	1.00356432	0.008	0.06981317
13.067	0.973893723	0.008	0.06981317
14.667	0.95644043	0.008	0.06981317
16.233	0.926769833	0.008	0.06981317
17.833	0.900589894	0.008	0.06981317
19.433	0.870919297	0.008	0.06981317
20.967	0.860447321	0.008	0.06981317
22.567	0.832522053	0.008	0.06981317
24.1	0.813323431	0.008	0.06981317
25.667	0.788888822	0.008	0.06981317
27.233	0.766199542	0.008	0.06981317
28.8	0.757472895	0.008	0.06981317
30.333	0.741764932	0.008	0.06981317
31.933	0.720820981	0.008	0.06981317
33.433	0.708603676	0.008	0.06981317
35	0.703367689	0.008	0.052359878
36.533	0.685914396	0.008	0.052359878
38.067	0.670206433	0.008	0.052359878
39.633	0.656243799	0.008	0.052359878
41.167	0.644026494	0.008	0.052359878
42.733	0.626573201	0.008	0.052359878
44.233	0.614355897	0.008	0.052359878
47.367	0.593411946	0.008	0.052359878
50.367	0.58293997	0.008	0.052359878
51.9	0.570722665	0.008	0.034906585
53.433	0.563741348	0.008	0.034906585
54.933	0.548033385	0.008	0.034906585
56.467	0.539306739	0.008	0.034906585
58	0.530580093	0.008	0.034906585
59.567	0.523598776	0.008	0.034906585
61.1	0.516617459	0.008	0.034906585
