t	th	dt	dth
0.0000	0.387536049	0.033333333	0.034906585
1.8335	0.384011182	0.033333333	0.034906585
3.7337	0.379889587	0.033333333	0.034906585
5.6006	0.372989078	0.033333333	0.034906585
7.4674	0.367991677	0.033333333	0.034906585
9.3342	0.360949274	0.033333333	0.034906585
11.2344	0.353268429	0.033333333	0.034906585
13.1013	0.349295536	0.033333333	0.034906585
14.9681	0.34555163	0.033333333	0.034906585
16.8350	0.339454497	0.033333333	0.034906585
18.7018	0.3349039	0.033333333	0.034906585
20.5687	0.328403072	0.033333333	0.034906585
22.4355	0.324584466	0.033333333	0.034906585
24.3024	0.317255479	0.033333333	0.034906585
26.1692	0.314156647	0.033333333	0.034906585
28.0361	0.307821975	0.033333333	0.034906585
29.9029	0.301659043	0.033333333	0.034906585
31.7698	0.298522861	0.033333333	0.034906585
33.6366	0.293363144	0.033333333	0.034906585
35.5035	0.288055947	0.033333333	0.034906585
